hydrophobicity.Group1,hydrophobicity.Group2,hydrophobicity.Group3,normwaalsvolume.Group1,normwaalsvolume.Group2,normwaalsvolume.Group3,polarity.Group1,polarity.Group2,polarity.Group3,polarizability.Group1,polarizability.Group2,polarizability.Group3,charge.Group1,charge.Group2,charge.Group3,secondarystruct.Group1,secondarystruct.Group2,secondarystruct.Group3,solventaccess.Group1,solventaccess.Group2,solventaccess.Group3,Class
0.247311828,0.47311828,0.279569892,0.462365591,0.344086022,0.193548387,0.311827957,0.408602151,0.279569892,0.376344086,0.430107527,0.193548387,0.064516129,0.784946237,0.150537634,0.419354839,0.290322581,0.290322581,0.462365591,0.247311828,0.290322581,Negative
0.314218382,0.434406913,0.251374705,0.449332286,0.363707777,0.186959937,0.271013354,0.397486253,0.331500393,0.356637863,0.4564022,0.186959937,0.085624509,0.809112333,0.105263158,0.392772977,0.241948154,0.365278869,0.361351139,0.314218382,0.324430479,Negative
0.274336283,0.265486726,0.460176991,0.256637168,0.433628319,0.309734513,0.486725664,0.203539823,0.309734513,0.168141593,0.522123894,0.309734513,0.132743363,0.840707965,0.026548673,0.433628319,0.318584071,0.247787611,0.486725664,0.274336283,0.238938053,Negative
0.225946887,0.535916413,0.2381367,0.55245973,0.303003918,0.144536352,0.264257727,0.495864171,0.239878102,0.503265128,0.35219852,0.144536352,0.043099695,0.821506313,0.135393992,0.248585111,0.342185459,0.40922943,0.299521114,0.225946887,0.474531998,Positive
0.155218555,0.737734166,0.107047279,0.749330955,0.212310437,0.038358608,0.12221231,0.720785013,0.157002676,0.579839429,0.381801963,0.038358608,0.014272971,0.868867083,0.116859946,0.262265834,0.39161463,0.346119536,0.258697591,0.155218555,0.586083854,Positive
0.378191856,0.422360248,0.199447895,0.447204969,0.373360939,0.179434092,0.213940649,0.396825397,0.389233954,0.348516218,0.472049689,0.179434092,0.09799862,0.788819876,0.113181504,0.42305038,0.193236715,0.383712905,0.322291235,0.378191856,0.299516908,Negative
0.211977186,0.561787072,0.226235741,0.604562738,0.289923954,0.105513308,0.25,0.533269962,0.216730038,0.542775665,0.351711027,0.105513308,0.036121673,0.846007605,0.117870722,0.235741445,0.368821293,0.395437262,0.300380228,0.211977186,0.487642586,Positive
0.435312024,0.380517504,0.184170472,0.403348554,0.385083714,0.211567732,0.207001522,0.330289193,0.462709285,0.345509893,0.442922374,0.211567732,0.123287671,0.770167428,0.106544901,0.433789954,0.187214612,0.378995434,0.284627093,0.435312024,0.280060883,Negative
0.306722689,0.382352941,0.31092437,0.415966387,0.394957983,0.18907563,0.331932773,0.340336134,0.327731092,0.348739496,0.462184874,0.18907563,0.088235294,0.794117647,0.117647059,0.361344538,0.294117647,0.344537815,0.415966387,0.306722689,0.277310924,Negative
0.329545455,0.329545455,0.340909091,0.329545455,0.403409091,0.267045455,0.375,0.255681818,0.369318182,0.278409091,0.454545455,0.267045455,0.113636364,0.778409091,0.107954545,0.443181818,0.284090909,0.272727273,0.454545455,0.329545455,0.215909091,Negative
