0,prop1.Tr1331,prop1.Tr2332,prop2.Tr1221,prop2.Tr1331,prop2.Tr2332,prop3.Tr1221,prop3.Tr1331,prop3.Tr2332,prop4.Tr1221,prop4.Tr1331,prop4.Tr2332,prop5.Tr1221,prop5.Tr1331,prop5.Tr2332,prop6.Tr1221,prop6.Tr1331,prop6.Tr2332,prop7.Tr1221,prop7.Tr1331,prop7.Tr2332,Class
0.209090909,0.063636364,0.263636364,0.313636364,0.122727273,0.131818182,0.231818182,0.068181818,0.204545455,0.290909091,0.118181818,0.136363636,0.109090909,0.018181818,0.109090909,0.181818182,0.281818182,0.2,0.15,0.295454545,0.122727273,Negative
0.16,0.15,0.275,0.235,0.2,0.215,0.27,0.205,0.145,0.23,0.175,0.24,0.135,0.005,0.105,0.26,0.185,0.22,0.175,0.26,0.135,Negative
0.208695652,0.19826087,0.259130435,0.307826087,0.154782609,0.220869565,0.243478261,0.243478261,0.180869565,0.293913043,0.133913043,0.24173913,0.193043478,0.022608696,0.151304348,0.233043478,0.245217391,0.182608696,0.250434783,0.222608696,0.156521739,Negative
0.240425532,0.159574468,0.276595745,0.278723404,0.217021277,0.138297872,0.261702128,0.217021277,0.195744681,0.304255319,0.187234043,0.168085106,0.136170213,0.017021277,0.178723404,0.206382979,0.265957447,0.219148936,0.244680851,0.242553191,0.155319149,Negative
0.163194444,0.104166667,0.322916667,0.336805556,0.201388889,0.135416667,0.309027778,0.131944444,0.163194444,0.319444444,0.170138889,0.166666667,0.079861111,0.024305556,0.104166667,0.243055556,0.239583333,0.1875,0.159722222,0.277777778,0.107638889,Negative
0.233038348,0.221238938,0.233038348,0.271386431,0.194690265,0.206489676,0.200589971,0.294985251,0.17699115,0.241887906,0.15339233,0.247787611,0.197640118,0.032448378,0.203539823,0.265486726,0.262536873,0.138643068,0.271386431,0.197640118,0.182890855,Negative
0.248853211,0.209862385,0.207568807,0.301605505,0.177752294,0.176605505,0.19266055,0.25,0.217889908,0.267201835,0.150229358,0.20412844,0.133027523,0.027522936,0.144495413,0.177752294,0.259174312,0.174311927,0.25,0.196100917,0.208715596,Negative
0.235059761,0.231075697,0.195219124,0.290836653,0.219123506,0.19123506,0.171314741,0.262948207,0.227091633,0.239043825,0.19123506,0.219123506,0.215139442,0.03187251,0.19123506,0.199203187,0.282868526,0.167330677,0.3187251,0.199203187,0.147410359,Negative
0.150205761,0.088477366,0.257201646,0.33744856,0.094650206,0.03909465,0.277777778,0.100823045,0.137860082,0.37654321,0.08436214,0.049382716,0.041152263,0.004115226,0.139917695,0.195473251,0.174897119,0.220164609,0.119341564,0.28600823,0.119341564,Negative
0.261363636,0.164772727,0.272727273,0.278409091,0.232954545,0.068181818,0.267045455,0.181818182,0.278409091,0.289772727,0.210227273,0.090909091,0.085227273,0.005681818,0.1875,0.221590909,0.204545455,0.232954545,0.221590909,0.278409091,0.204545455,Positive
0.187919463,0.174496644,0.22147651,0.288590604,0.174496644,0.194630872,0.214765101,0.208053691,0.194630872,0.275167785,0.161073826,0.208053691,0.154362416,0.020134228,0.127516779,0.261744966,0.248322148,0.140939597,0.268456376,0.261744966,0.093959732,Negative
0.243323442,0.175074184,0.231454006,0.272997033,0.225519288,0.136498516,0.234421365,0.213649852,0.222551929,0.299703264,0.204747774,0.15727003,0.183976261,0.020771513,0.175074184,0.225519288,0.237388724,0.207715134,0.293768546,0.228486647,0.12462908,Positive
0.301980198,0.202970297,0.128712871,0.207920792,0.222772277,0.257425743,0.113861386,0.257425743,0.257425743,0.198019802,0.202970297,0.277227723,0.267326733,0.069306931,0.217821782,0.207920792,0.321782178,0.099009901,0.267326733,0.143564356,0.237623762,Negative
0.206412826,0.21242485,0.238476954,0.258517034,0.20240481,0.20240481,0.224448898,0.24248497,0.200400802,0.260521042,0.164328657,0.240480962,0.198396794,0.016032064,0.152304609,0.250501002,0.270541082,0.174348697,0.276553106,0.208416834,0.142284569,Negative
0.210338681,0.192513369,0.263814617,0.311942959,0.172905526,0.16399287,0.258467023,0.237076649,0.180035651,0.308377897,0.155080214,0.181818182,0.126559715,0.023172906,0.169340463,0.231729055,0.217468806,0.203208556,0.260249554,0.215686275,0.142602496,Negative
0.311827957,0.225806452,0.11827957,0.344086022,0.075268817,0.225806452,0.107526882,0.268817204,0.268817204,0.344086022,0.064516129,0.23655914,0.161290323,0.010752688,0.11827957,0.172043011,0.231182796,0.14516129,0.290322581,0.134408602,0.247311828,Negative
0.264,0.192,0.136,0.304,0.176,0.128,0.12,0.208,0.264,0.28,0.136,0.168,0.176,0.024,0.12,0.216,0.216,0.168,0.256,0.144,0.2,Negative
0.274390244,0.078397213,0.278745645,0.381097561,0.146777003,0.077090592,0.286585366,0.097560976,0.260452962,0.37674216,0.129355401,0.094512195,0.070557491,0.012195122,0.230836237,0.157665505,0.223432056,0.260888502,0.106271777,0.289634146,0.246515679,Positive
0.269230769,0.173076923,0.240384615,0.298076923,0.173076923,0.163461538,0.25,0.201923077,0.240384615,0.298076923,0.173076923,0.163461538,0.269230769,0,0.134615385,0.240384615,0.240384615,0.144230769,0.259615385,0.211538462,0.182692308,Negative
0.161729384,0.027221777,0.160128102,0.257005604,0.090472378,0.023218575,0.205764612,0.036028823,0.152922338,0.438751001,0.080064051,0.033626902,0.03122498,0.002401922,0.130504404,0.173738991,0.108086469,0.377101681,0.040832666,0.391513211,0.148118495,Positive
0.191780822,0.184931507,0.205479452,0.260273973,0.219178082,0.130136986,0.232876712,0.198630137,0.178082192,0.253424658,0.212328767,0.136986301,0.150684932,0.04109589,0.136986301,0.226027397,0.273972603,0.226027397,0.280821918,0.280821918,0.095890411,Negative
0.353612167,0.095057034,0.091254753,0.269961977,0.201520913,0.102661597,0.102661597,0.125475285,0.323193916,0.262357414,0.155893536,0.148288973,0.174904943,0.015209125,0.068441065,0.08365019,0.315589354,0.178707224,0.129277567,0.129277567,0.319391635,Negative
0.281879195,0.208053691,0.134228188,0.214765101,0.214765101,0.255033557,0.11409396,0.241610738,0.261744966,0.22147651,0.167785235,0.302013423,0.261744966,0.053691275,0.201342282,0.228187919,0.214765101,0.174496644,0.315436242,0.154362416,0.174496644,Negative
0.2125,0.083653846,0.2875,0.367307692,0.142307692,0.075961538,0.308653846,0.099038462,0.204807692,0.359615385,0.126923077,0.091346154,0.071153846,0.009615385,0.123076923,0.182692308,0.194230769,0.269230769,0.131730769,0.334615385,0.164423077,Negative
0.246153846,0.179487179,0.153846154,0.235897436,0.205128205,0.174358974,0.164102564,0.2,0.225641026,0.235897436,0.164102564,0.215384615,0.194871795,0.046153846,0.158974359,0.179487179,0.292307692,0.138461538,0.225641026,0.194871795,0.2,Negative
0.147662018,0.102543068,0.273995078,0.304347826,0.109105824,0.070549631,0.293683347,0.127153404,0.127973749,0.292042658,0.095159967,0.084495488,0.02707137,0.000820345,0.174733388,0.192780968,0.129614438,0.24364233,0.132895816,0.4511895,0.11730927,Positive
0.259259259,0.206349206,0.185185185,0.264550265,0.169312169,0.19047619,0.153439153,0.248677249,0.227513228,0.275132275,0.126984127,0.232804233,0.19047619,0.021164021,0.169312169,0.222222222,0.26984127,0.132275132,0.259259259,0.222222222,0.206349206,Negative
0.293150685,0.169863014,0.156164384,0.290410959,0.175342466,0.164383562,0.153424658,0.183561644,0.284931507,0.273972603,0.142465753,0.197260274,0.230136986,0.04109589,0.194520548,0.21369863,0.306849315,0.142465753,0.279452055,0.180821918,0.183561644,Negative
0.319277108,0.156626506,0.186746988,0.301204819,0.192771084,0.192771084,0.180722892,0.186746988,0.301204819,0.325301205,0.168674699,0.21686747,0.295180723,0.024096386,0.108433735,0.222891566,0.28313253,0.186746988,0.234939759,0.186746988,0.240963855,Negative
0.267857143,0.162815126,0.198529412,0.282563025,0.192226891,0.155462185,0.197478992,0.18907563,0.25210084,0.279411765,0.174369748,0.173319328,0.165966387,0.033613445,0.176470588,0.215336134,0.277310924,0.178571429,0.271008403,0.221638655,0.159663866,Negative
0.269360269,0.168350168,0.218855219,0.343434343,0.138047138,0.161616162,0.198653199,0.208754209,0.255892256,0.35016835,0.111111111,0.188552189,0.181818182,0.006734007,0.114478114,0.178451178,0.282828283,0.205387205,0.228956229,0.208754209,0.208754209,Negative
0.292682927,0.163109756,0.155487805,0.277439024,0.161585366,0.150914634,0.147865854,0.204268293,0.257621951,0.268292683,0.137195122,0.175304878,0.201219512,0.018292683,0.12804878,0.161585366,0.245426829,0.170731707,0.242378049,0.166158537,0.213414634,Negative
0.245508982,0.24251497,0.209580838,0.266467066,0.164670659,0.19760479,0.188622754,0.275449102,0.224550898,0.263473054,0.137724551,0.224550898,0.188622754,0.032934132,0.21257485,0.218562874,0.24251497,0.224550898,0.338323353,0.206586826,0.149700599,Negative
0.290909091,0.139393939,0.157575758,0.281818182,0.196969697,0.157575758,0.163636364,0.16969697,0.254545455,0.257575758,0.154545455,0.2,0.184848485,0.039393939,0.172727273,0.203030303,0.245454545,0.184848485,0.212121212,0.184848485,0.218181818,Negative
0.246835443,0.170886076,0.200421941,0.312236287,0.187763713,0.126582278,0.206751055,0.185654008,0.23628692,0.282700422,0.151898734,0.162447257,0.113924051,0.004219409,0.097046414,0.14556962,0.240506329,0.232067511,0.213080169,0.232067511,0.20464135,Negative
0.1966759,0.271468144,0.229916898,0.246537396,0.218836565,0.213296399,0.213296399,0.299168975,0.185595568,0.227146814,0.171745152,0.260387812,0.20498615,0.024930748,0.213296399,0.279778393,0.229916898,0.152354571,0.335180055,0.207756233,0.132963989,Negative
0.242074928,0.224783862,0.224783862,0.259365994,0.198847262,0.18443804,0.193083573,0.268011527,0.198847262,0.239193084,0.141210375,0.242074928,0.216138329,0.037463977,0.158501441,0.253602305,0.244956772,0.16426513,0.291066282,0.207492795,0.175792507,Positive
0.240384615,0.182692308,0.182692308,0.240384615,0.144230769,0.25,0.182692308,0.221153846,0.201923077,0.259615385,0.125,0.269230769,0.221153846,0.028846154,0.125,0.182692308,0.298076923,0.182692308,0.269230769,0.182692308,0.153846154,Negative
0.285714286,0.194139194,0.183150183,0.274725275,0.157509158,0.172161172,0.183150183,0.223443223,0.263736264,0.274725275,0.142857143,0.186813187,0.153846154,0.010989011,0.128205128,0.179487179,0.223443223,0.164835165,0.263736264,0.212454212,0.216117216,Negative
0.240566038,0.196540881,0.196540881,0.283018868,0.160377358,0.169811321,0.188679245,0.245283019,0.20754717,0.243710692,0.136792453,0.193396226,0.133647799,0.017295597,0.133647799,0.227987421,0.25,0.171383648,0.235849057,0.213836478,0.201257862,Negative
0.256081081,0.129054054,0.181756757,0.281081081,0.159459459,0.134459459,0.178378378,0.137837838,0.25,0.283783784,0.12972973,0.164189189,0.148648649,0.041891892,0.151351351,0.141891892,0.275675676,0.131081081,0.222297297,0.209459459,0.162837838,Negative
0.266244057,0.163232964,0.18066561,0.286846276,0.179080824,0.147385103,0.185419968,0.18066561,0.258320127,0.263074485,0.136291601,0.190174326,0.161648177,0.026941363,0.125198098,0.117274168,0.30110935,0.16481775,0.210776545,0.191759113,0.218700475,Negative
0.19278607,0.077114428,0.282338308,0.350746269,0.131840796,0.062810945,0.294776119,0.093283582,0.185323383,0.365049751,0.117537313,0.077114428,0.059079602,0.004353234,0.10261194,0.185945274,0.187810945,0.276119403,0.101368159,0.343283582,0.168532338,Positive
0.235795455,0.176136364,0.203125,0.259943182,0.196022727,0.183238636,0.207386364,0.214488636,0.203125,0.265625,0.173295455,0.205965909,0.144886364,0.03125,0.15625,0.200284091,0.25,0.153409091,0.244318182,0.210227273,0.167613636,Negative
0.254259502,0.214941022,0.180865007,0.252948886,0.179554391,0.209698558,0.161205767,0.250327654,0.224115334,0.23853211,0.157273919,0.23197903,0.193971166,0.036697248,0.178243775,0.197903014,0.272608126,0.167758847,0.25819135,0.180865007,0.211009174,Negative
0.170984456,0.259067358,0.191709845,0.29015544,0.134715026,0.170984456,0.170984456,0.279792746,0.160621762,0.284974093,0.10880829,0.196891192,0.119170984,0.005181347,0.222797927,0.274611399,0.222797927,0.160621762,0.305699482,0.18134715,0.124352332,Negative
0.229390681,0.161290323,0.222222222,0.274193548,0.159498208,0.132616487,0.227598566,0.195340502,0.195340502,0.301075269,0.146953405,0.14516129,0.114695341,0.014336918,0.168458781,0.211469534,0.202508961,0.252688172,0.220430108,0.268817204,0.170250896,Negative
0.2209889,0.229061554,0.210898083,0.287588295,0.162462159,0.183652876,0.178607467,0.279515641,0.188698285,0.278506559,0.13925328,0.206861756,0.156407669,0.021190716,0.216952573,0.245206862,0.233097881,0.184661958,0.272452069,0.200807265,0.177598385,Negative
0.260606061,0.163636364,0.208080808,0.315151515,0.165656566,0.153535354,0.193939394,0.202020202,0.238383838,0.305050505,0.135353535,0.183838384,0.181818182,0.028282828,0.197979798,0.222222222,0.270707071,0.129292929,0.256565657,0.183838384,0.167676768,Positive
0.274456522,0.122282609,0.114130435,0.22826087,0.182065217,0.201086957,0.100543478,0.135869565,0.277173913,0.233695652,0.182065217,0.201086957,0.190217391,0.114130435,0.201086957,0.173913043,0.269021739,0.097826087,0.211956522,0.108695652,0.184782609,Negative
0.312186978,0.14524207,0.183639399,0.320534224,0.191986644,0.123539232,0.175292154,0.170283806,0.300500835,0.30884808,0.153589316,0.161936561,0.161936561,0.015025042,0.135225376,0.16360601,0.337228715,0.12687813,0.250417362,0.215358932,0.207011686,Negative
